PROCESO;CÓDIGO;TITULO DOCUMENTO;TIPO;VERSIÓN;ESTADO;FECHA DE APROBACION;ÁREAS;MOTIVO DEL CAMBIO;TIEMPO DE RETENCIÓN;RESPONSABLE DE RETENCIÓN;LUGAR DE ALMACENAMIENTO FÍSICO;LUGAR DE ALMACENAMIENTO MAGNÉTICO;CONSERVACIÓN;DISPOSICIÓN FINAL;COPIAS CONTROLADAS; FECHA DE VIGENCIA;DIAS;SEÑAL ALERTA;OBSOLETO;ANULADO;EN ACTUALIZACIÓN
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L378;LAYOUT POSICIONES DE ABORDAMIENTO  NIVEL 3 AVTA06 AVION A330_32 SYNERGY.;L;2;OBSOLETO;2016-04-23;KEY ACCOUNT;;;;;;;;1;2024-08-12;2989; ;x;;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L383;LAYOUT DIAGRAMAS DE AVIÓN Y DE GALLEY AVIONES BOEING 787;L;1;OBSOLETO;2016-04-24;KEY ACCOUNT;;;;;;;;1;2024-08-12;2988; ;x;;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L421;TIPO Y CANTIDAD DE AUDIFONOS POR EQUIPO AVIANCA INTERNACIONAL ;L;12;OBSOLETO;2016-04-25;KEY ACCOUNT;;;;;;;;1;2024-08-12;2987; ;x;;
ABORDAMIENTO Y DESABORDAMIENTO;ABD-P003;ABORDAR Y DESABORDAR VUELOS INTER NO ALTO RIESGO;P;2;OBSOLETO;2016-04-26;SERVICE DELIVERY;;;;;;;;1;2024-08-12;2986; ;x;;
ABORDAMIENTO Y DESABORDAMIENTO;ABD-P004;ABORDAR Y DESABORDAR VUELOS INTERNACIONALES DIFERENTES A LA AEROLINEA AVIANCA;P;2;OBSOLETO;2016-04-27;SERVICE DELIVERY;;;;;;;;2;2024-08-12;2985; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F001 ;RELACION LICORES VUELOS  INTERNACIONALES;F;7;DESACTUALIZADO;2016-04-28;PICK & PACK;;;;;;;;1;2024-08-12;2984;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F002;"
REPORTE LICORES VUELOS NACIONAL  (Division Servicio a Bordo)
";F;4;OBSOLETO;2016-04-29;PICK & PACK;ste ;;;;;;;1;2024-08-12;2983; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F007;ENTREGA DE VUELOS BASE NACIONAL ( WACO);F;4;OBSOLETO;2016-04-30;PICK & PACK;;;;;;;;1;2024-08-12;2982; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F019; ENTREGA DE PRENSA PARA SERVICIOS DE SALAS;F;2;OBSOLETO;2016-05-01;PICK & PACK;;;;;;;;1;2024-08-12;2981; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F025;ENTREGA Y RECIBO DE INSUMOS Y BEBIDAS DE AEROMEXICO ;F;1;OBSOLETO;2016-05-02;PICK & PACK;;;;;;;;1;2024-08-12;2980; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F026;CONTROL DE FALTANTES BARES, LICORES ENTRETENIMIENTO DE AVIANCA;F;1;OBSOLETO;2016-05-03;PICK & PACK;;;;;;;;1;2024-08-12;2979; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F027;ENTREGA DE ELEMENTOS BARES Y LICORES  POR CAMBIOS DE HK;F;1;OBSOLETO;2016-05-04;PICK & PACK;;;;;;;;1;2024-08-12;2978; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F031;ENTREGA DE PICK & PACK DE LAN A SERVICE DELIVERY;F;5;OBSOLETO;2016-05-05;PICK & PACK;;;;;;;;1;2024-08-12;2977; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F032;APROVISIONAMIENTO BEBIDAS VUELOS LAN;F;4;OBSOLETO;2016-05-06;PICK & PACK;;;;;;;;1;2024-08-12;2976; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F033;RELACION BEBIDAS Y MISCELANEOS IBERIA;F;4;DESACTUALIZADO;2016-05-07;PICK & PACK;;;;;;;;1;2024-08-12;2975;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F036;ENTREGA DOCUMENTACIÓN DE TACA;F;4;OBSOLETO;2016-05-08;PICK & PACK;;;;;;;;2;2024-08-12;2974; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F037;FORMATO DE RECORRIDAS Y ENTREGA DE TURNO SEGUNDO PISO;F;4;DESACTUALIZADO;2016-05-09;PICK & PACK;;;;;;;;1;2024-08-12;2973;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F038;EVALUACIÓN DE CONOCIMIENTOS PICK AND PACK;F;3;DESACTUALIZADO;2016-05-10;PICK & PACK;;;;;;;;2;2024-08-12;2972;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F039;ENTREGA DE MATERIAL DE LECTURA ;F;1;OBSOLETO;2016-05-11;PICK & PACK;;;;;;;;1;2024-08-12;2971; ;X;;
ARMADO DE BARES Y LICORES ;ABL-F040;STICKER RESERVAS NACIONALES;F;1;OBSOLETO;2016-05-12;PICK & PACK;;;;;;;;1;2024-08-12;2970; ;X;;
ARMADO DE BARES Y LICORES ;ABL-F041;RECEPCIÓN DE LICORES VUELOS INTERNACIONALES;F;3;OBSOLETO;2016-05-13;PICK & PACK;;;;;;;;1;2024-08-12;2969; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F042;CONTROL DE ENTRADAS Y SALIDAS DE LICORES ;F;3;OBSOLETO;2016-05-14;PICK & PACK;;;;;;;;1;2024-08-12;2968; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F043;PROGRAMACION DE ENTREGA DE EQUIPO DE W&P;F;3;DESACTUALIZADO;2016-05-15;PICK & PACK;;;;;;;;1;2024-08-12;2967;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F044;ENTREGA TROLLEYS BEBIDAS E INSUMOS AEROMEXICO PICK AND PACK-LOGÍSTICA;F;2;OBSOLETO;2016-05-16;PICK & PACK;;;;;;;;1;2024-08-12;2966; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F045; FORMATO DE ENTREGA NACIONAL AV A SERVICE DELIVERY;F;3;OBSOLETO;2016-05-17;PICK & PACK;;;;;;;;1;2024-08-12;2965; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F046;FORMATO DE ENTREGA DE PRENSA AL ÁREA DE LOGÍSTICA;F;2;OBSOLETO;2016-05-18;PICK & PACK;;;;;;;;1;2024-08-12;2964; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F047;FORMATO DE ENTREGA A SERVICE DELIVERY VUELO DE TURKISH AIRLINES;F;3;DESACTUALIZADO;2016-05-19;PICK & PACK;;;;;;;;1;2024-08-12;2963;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F048;ENTREGA DE BEBIDAS Y CARTA MENÚ AIR EUROPA;F;1;OBSOLETO;2016-05-20;PICK & PACK;;;;;;;;1;2024-08-12;2962; ;x;;
ARMADO DE BARES Y LICORES ;ABL-F049;CONTROL ENTREGA DE VALES A WAREHOUSE;F;1;DESACTUALIZADO;2016-05-21;PICK & PACK;;;;;;;;2;2024-08-12;2961;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F050;FORMATO ENTREGA LATAM DOMESTICO A SERVICE DELIVERY;F;1;DESACTUALIZADO;2016-05-22;PICK & PACK;;;;;;;;3;2024-08-12;2960;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F051;FORMATO DE ENTREGA A SERVICE DELIVERY Y MAKE AND PACK;F;2;DESACTUALIZADO;2016-05-23;PICK & PACK;;;;;;;;;2024-08-12;2959;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F052;HOJA DE RUTA DIGITADORES VERSILIA POR TURNO;F;1;DESACTUALIZADO;2016-05-24;PICK & PACK;;;;;;;;;2024-08-12;2958;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F053;FORMATO DE RECORRIDAS Y ENTREGA DE TURNO VERSILIA PRIMER PISO;F;1;DESACTUALIZADO;2016-05-25;PICK & PACK;;;;;;;;;2024-08-12;2957;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F054;FORMATO DE ENTREGA LATAM INTER Y DOMÉSTICO;F;1;DESACTUALIZADO;2016-05-26;PICK & PACK;;;;;;;;;2024-08-12;2956;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-F055;FORMATO DE ENTREGA VERSILIA A CLIENTE INTERNO;F;1;DESACTUALIZADO;2016-05-27;PICK & PACK;;;;;;;;;2024-08-12;2955;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I005;RECEPCIÓN, DESCARGUE DE LICORES INTERNACIONALES Y ELIMINACION DE LIQUIDOS SOBRANTES;I;14;DESACTUALIZADO;2016-05-28;PICK & PACK;;;;;;;;2;2024-08-12;2954;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I007;ENTREGA DE LICORES VUELOS INTERNACIONALES A SERVICE DELIVERY;I;9;DESACTUALIZADO;2016-05-29;PICK & PACK;;;;;;;;2;2024-08-12;2953;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I008;MONTAJE DE TROLLEYS PARA LA NACIONAL AVIANCA;I;8;OBSOLETO;2016-05-30;PICK & PACK;;;;;;;;2;2024-08-12;2952; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I021;ARMADO DE GAVETAS CON INSUMOS INTERNACIONALES;I;10;DESACTUALIZADO;2016-05-31;PICK & PACK;;;;;;;;2;2024-08-12;2952;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I023;ARMADO DE ALISTAMIENTO INSERTOS;I;11;DESACTUALIZADO;2016-06-01;PICK & PACK;;;;;;;;2;2024-08-12;2951;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I029;APROVECHAMIENTO JUGOS X 200 ML Y AGUA INDIVIDUAL X 280 ML;I;8;OBSOLETO;2016-06-02;PICK & PACK;;;;;;;;2;2024-08-12;2950; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I044;ARMADO DE GAVETAS CONSUMOS NACIONALES;I;6;OBSOLETO;2016-06-03;PICK & PACK;;;;;;;;2;2024-08-12;2949; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I047;ARMADO DE  PRENSA;I;6;OBSOLETO;2016-06-04;PICK & PACK;;;;;;;;2;2024-08-12;2948; ;X;;
ARMADO DE BARES Y LICORES ;ABL-I048;ARMADO DE REVISTAS;I;4;OBSOLETO;2016-06-05;PICK & PACK;;;;;;;;2;2024-08-12;2947; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I050;MONTAJE DE FOOD BOX BEBIDAS LATAM INTERNACIONAL;I;8;DESACTUALIZADO;2016-06-06;PICK & PACK;;;;;;;;2;2024-08-12;2946;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I051;MONTAJE DE TROLLEYS CON BEBIDAS LAN;I;7;DESACTUALIZADO;2016-06-07;PICK & PACK;;;;;;;;2;2024-08-12;2945;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I052;MONTAJE DE BARES INTERNACIONALES AEROLINEA AVIANCA;I;9;DESACTUALIZADO;2016-06-08;PICK & PACK;;;;;;;;2;2024-08-12;2944;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I053;MONTAJE DE LICORES INTERNACIONALES DE AVIANCA;I;7;OBSOLETO;2016-06-09;PICK & PACK;YA NO SE REALIZA LA ACTIVIDAD;;;;;;;2;2024-08-12;2943; ;X;;
ARMADO DE BARES Y LICORES ;ABL-I055;ARMADO TROLLEY STAND BY DE AVIANCA;I;3;OBSOLETO;2016-06-10;PICK & PACK;;;;;;;;2;2024-08-12;2942; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I056;MONTAJE DE BARES DE AEROLÍNEAS ARGENTINAS, AEROMÉXICO, IBERIA, TURKISH Y AIR EUROPA;I;5;DESACTUALIZADO;2016-06-11;PICK & PACK;;;;;;;;2;2024-08-12;2941;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I057;CONSULTA DE ESTÁNDARES DE PICK AND PACK EN EL SISTEMA SIDE;I;2;DESACTUALIZADO;2016-06-12;PICK & PACK;;;;;;;;2;2024-08-12;2940;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I058;PROCESO DE APROVECHAMIENTO BARES E INSUMOS ;I;6;DESACTUALIZADO;2016-06-13;PICK & PACK;;;;;;;;2;2024-08-12;2939;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I059;DILIGENCIAMIENTO DEL FORMATO RECORRIDAS Y ENTREGA DE TURNO;I;4;OBSOLETO;2016-06-14;PICK & PACK;;;;;;;;2;2024-08-12;2938; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I060;ARMADO Y MONTAJE DE DOCUMENTACIÓN MIGRATORIA;I;4;DESACTUALIZADO;2016-06-15;PICK & PACK;;;;;;;;2;2024-08-12;2937;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I061;CONTROL INGRESO Y SALIDAS DE LICORES;I;3;OBSOLETO;2016-06-16;PICK & PACK;;;;;;;;1;2024-08-12;2936; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I062;DILIGENCIAMIENTO DE HERRAMIENTA DE INVENTARIOS;I;2;DESACTUALIZADO;2016-06-17;PICK & PACK;;;;;;;;1;2024-08-12;2935;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I063;UBICACIÓN DOCUMENTACIÓN MIGRATORIA DE VUELOS INTERNACIONALES;I;4;DESACTUALIZADO;2016-06-18;PICK & PACK;;;;;;;;1;2024-08-12;2934;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I064;PROCESO DE SANITIZACIÓN ELEMENTOS EN PICK AND PACK;I;1;OBSOLETO;2016-06-19;PICK & PACK;;;;;;;;;2024-08-12;2933; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I065;INSTRUCTIVO DE APROVECHAMIENTO Y DESINFECCIÓN DE AMENITY KIT;I;2;OBSOLETO;2016-06-20;PICK & PACK;;;;;;;;;2024-08-12;2932; ;x;;
ARMADO DE BARES Y LICORES ;ABL-I066;PROCESO RUNNER PLATAFORMA;I;1;DESACTUALIZADO;2016-06-21;PICK & PACK;;;;;;;;;2024-08-12;2931;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I067;MONTAJE DE FAMILIAS VERSILIA;I;1;DESACTUALIZADO;2016-06-22;PICK & PACK;;;;;;;;;2024-08-12;2930;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I068;DIGITACIÓN DE NEXUS Y UBICACIÓN DE GAVETAS CON DOCUMENTACIÓN;I;1;DESACTUALIZADO;2016-06-23;PICK & PACK;;;;;;;;;2024-08-12;2929;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-I069;BAJA PRODUCTO VERSILIA;I;1;DESACTUALIZADO;2016-06-24;PICK & PACK;;;;;;;;;2024-08-12;2928;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L001;MAPA GENERAL ÁREA DE PICK AND PACK;L;9;DESACTUALIZADO;2016-06-25;PICK & PACK;;;;;;;;;2024-08-12;2927;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L002;LAYOUT ESTANTERÍA MONTAJE DE LICORES;L;5;DESACTUALIZADO;2016-06-26;PICK & PACK;;;;;;;;;2024-08-12;2926;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L008;LAYOUT ESTANTERIA MONTAJE DE BEBIDAS;L;7;DESACTUALIZADO;2016-06-27;PICK & PACK;;;;;;;;2;2024-08-12;2925;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L016;LAYOUT ESTACION APROVECHAMIENTO PARA CLASIFICACION DE INSUMOS;L;1;OBSOLETO;2016-06-28;PICK & PACK;;;;;;;;2;2024-08-12;2924; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L018;LAYOUT ESTACIÓN MONTAJE DE VASOS, REVISTAS Y PRENSA;L;7;OBSOLETO;2016-06-29;PICK & PACK;;;;;;;;2;2024-08-12;2923; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L020;LAYOUT ESTACIÓN DE MONTAJES CONSUMOS INTERNACIONALES;L;11;DESACTUALIZADO;2016-06-30;PICK & PACK;;;;;;;;;2024-08-12;2922;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L040;MAPA MONTAJE LATAM;L;11;DESACTUALIZADO;2016-07-01;PICK & PACK;;;;;;;;2;2024-08-12;2921;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L042;MAPA MONTAJE DE DOCUMENTACIÓN;L;13;DESACTUALIZADO;2016-07-02;PICK & PACK;;;;;;;;2;2024-08-12;2920;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L043;MAPA ÁREA DE APROVECHAMIENTO;L;8;DESACTUALIZADO;2016-07-03;PICK & PACK;;;;;;;;2;2024-08-12;2919;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L044;MAPA MONTAJE DE LA NACIONAL;L;7;OBSOLETO;2016-07-04;PICK & PACK;;;;;;;;;2024-08-12;2918; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L050;LAYOUT ESTACIÓN DE CONSUMOS NACIONALES   ;L;4;OBSOLETO;2016-07-05;PICK & PACK;;;;;;;;;2024-08-12;2917; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L051;LAYOUT ESTACIÓN ALISTAMIENTO INSUMOS DE APROVECHAMIENTO NACIONAL E INTERNACIONAL;L;5;OBSOLETO;2016-07-06;PICK & PACK;;;;;;;;;2024-08-12;2916; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L052;MAPA ÁREA DE MONTAJE DE BARES Y LICORES Y ZONA DE CONSOLIDACIÓN;L;10;DESACTUALIZADO;2016-07-07;PICK & PACK;;;;;;;;2;2024-08-12;2915;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L053;MAPA ÁREA DE CONSOLIDACIÓN DE VUELOS;L;6;DESACTUALIZADO;2016-07-08;PICK & PACK;;;;;;;;2;2024-08-12;2914;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L054;LAYOUT POSICIONES VUELOS HOLDING BOX SECO;L;2;OBSOLETO;2016-07-09;PICK & PACK;;;;;;;;;2024-08-12;2913; ;x;;
ARMADO DE BARES Y LICORES ;ABL-L055;MAPA MONTAJE VERSILIA;L;1;DESACTUALIZADO;2016-07-10;PICK & PACK;;;;;;;;;2024-08-12;2912;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L056;LAYOUT ESTACIÓN DE MONTAJE VERSILIA TIPO 1;L;2;DESACTUALIZADO;2016-07-11;PICK & PACK;;;;;;;;;2024-08-12;2911;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L057;LAYOUT ESTACIÓN DE MONTAJE VERSILIA TIPO 2;L;2;DESACTUALIZADO;2016-07-12;PICK & PACK;;;;;;;;;2024-08-12;2910;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-L058;LAYOUT ESTACIÓN DE MONTAJE VERSILIA TIPO 3;L;2;DESACTUALIZADO;2016-07-13;PICK & PACK;;;;;;;;;2024-08-12;2909;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-MCV-001;PICK & PACK;MCV;3;DESACTUALIZADO;2016-07-14;PICK & PACK;;;;;;;;;2024-08-12;2908;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-MCV-002;PICK & PACK - VERSILIA;MCV;1;DESACTUALIZADO;2016-07-15;PICK & PACK;;;;;;;;;2024-08-12;2907;alerta;;;
ARMADO DE BARES Y LICORES ;ABL-P001;MONTAR  TROLLEYS LICORES BARES Y CONSUMOS VUELOS INNTERNACIONALES DE AV.;P;5;OBSOLETO;2016-07-16;PICK & PACK;;;;;;;;1;2024-08-12;2906; ;x;;
ARMADO DE BARES Y LICORES ;ABL-P002 ;MONTAR TROLLELYS  BARES, LICORES Y CONSUMOS  VUELOS  DE BASE NACIONALES AVIANCA;P;6;OBSOLETO;2016-07-17;PICK & PACK;;;;;;;;1;2024-08-12;2905; ;x;;
ARMADO DE BARES Y LICORES ;ABL-P003;RECICLAR  JUGOS, BEBIDAS Y CONSUMOS;P;4;OBSOLETO;2016-07-18;PICK & PACK;;;;;;;;1;2024-08-12;2904; ;X;;
ARMADO DE BARES Y LICORES ;ABL-P004;RECICLAR  LICORES VUELOS NACIONALES E INTERNACIONALES;P;3;OBSOLETO;2016-07-19;PICK & PACK;;;;;;;;1;2024-08-12;2903; ;X;;
ARMADO DE BARES Y LICORES ;ABL-P005;PROCESO PICK AND PACK;P;5;DESACTUALIZADO;2016-07-20;PICK & PACK;;;;;;;;;2024-08-12;2902;alerta;;;
ABASTECIMIENTO;ABS-F006;ADICIONALES Y CANCELACIONES DE PRODUCTOS ;F;4;OBSOLETO;2016-07-21;ABASTECIMIENTOS;;;;;;;;1;2024-08-12;2901; ;X;;
ABASTECIMIENTO;ABS-F007;RELACION FALTANTES DIARIOS DE MATERIAS PRIMAS;F;5;DESACTUALIZADO;2016-07-22;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2900;alerta;;;
ABASTECIMIENTO;ABS-F009;PEDIDO SEMANAL SALON INFANTIL - AVIANCA ;F;4;OBSOLETO;2016-07-23;ABASTECIMIENTOS;;;;;;;;1;2024-08-12;2899; ;x;;
ABASTECIMIENTO;ABS-F010;PROGRAMACIÓN COMPRA DE MATERIA PRIMA Y SUMINISTROS DIFERENTES A FRUVER;F;5;OBSOLETO;2016-07-24;ABASTECIMIENTOS;;;;;;;;1;2024-08-12;2898; ;X;;
ABASTECIMIENTO;ABS-F012;RECEPCIÓN ORDENES DE COMPRA;F;4;DESACTUALIZADO;2016-07-25;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2897;alerta;;;
ABASTECIMIENTO;ABS-F013;REQUERIMIENTOS INTERNOS ;F;4;DESACTUALIZADO;2016-07-26;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2896;alerta;;;
ABASTECIMIENTO;ABS-F014;SALIDAS Y TRANSFERENCIAS;F;4;DESACTUALIZADO;2016-07-27;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2895;alerta;;;
ABASTECIMIENTO;ABS-F015;RECEPCIÓN SIN ORDEN DE COMPRA;F;3;DESACTUALIZADO;2016-07-28;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2894;alerta;;;
ABASTECIMIENTO;ABS-F018;ENTREGA DE CANASTILLAS  DE CASINO A PLANTA GG;F;2;OBSOLETO;2016-07-29;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2893; ;x;;
ABASTECIMIENTO;ABS-F019;RECIBO DE SERVICIOS PRESTADOS POR CONTRATISTAS;F;1;OBSOLETO;2016-07-30;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2892; ;x;;
ABASTECIMIENTO;ABS-F020;RECEPCIÓN DE BEBIDAS POR PROVEEDOR;F;4;OBSOLETO;2016-07-31;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2892; ;x;;
ABASTECIMIENTO;ABS-F023;REGISTRO INGRESO DE PROVEEDORES A ALMACEN;F;5;DESACTUALIZADO;2016-08-01;ABASTECIMIENTOS;;;;;;;;1;2024-08-12;2891;alerta;;;
ABASTECIMIENTO;ABS-F024;FACTURAS ENTREGADAS A CONTABILIDAD;F;3;DESACTUALIZADO;2016-08-02;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2890;alerta;;;
ABASTECIMIENTO;ABS-F025;SOLICITUD DE CONSUMO ZEUS;F;1;OBSOLETO;2016-08-03;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2889; ;x;;
ABASTECIMIENTO;ABS-F027;PROGRAMACION, COMPRA DE MP Y SUMINISTROS DIFERENTES A FRUVER CASINO GG Y RESTAURANTE CONECTA;F;2;OBSOLETO;2016-08-04;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2888; ;x;;
ABASTECIMIENTO;ABS-F028;BOOM DE MATERIAS PRIMAS Y SUMINISTROS ;F;2;OBSOLETO;2016-08-05;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2887; ;x;;
ABASTECIMIENTO;ABS-F029;PEDIDO SEMANAL SALON INFANTIL - AVIANCA AV058008 - SALON INFANTIL EDR INTER;F;2;OBSOLETO;2016-08-06;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2886; ;x;;
ABASTECIMIENTO;ABS-F030;PEDIDO SEMANAL SALON INFANTIL - AVIANCA AV058009 - SALON INFANTIL EDR NACIONAL;F;2;OBSOLETO;2016-08-07;ABASTECIMIENTOS;;;;;;;;;2024-08-12;2885; ;x;;
